Kecamatan,NPSN,Nama_sekolah,Jenjang,Status,Alamat lengkap,,Telepon,SPP,,Akreditasi,Peserta Didik,Rombel,Guru,Pegawai,R.Kelas,R.Lab,R.Perpus,Pendidik,Tenaga Kependidikan,Gaji Guru,Kurikulum,NPYP,Yayasan,Jumlah Sekolah Naungan Yayasan,Grade Yayasan Sekolah,Pimpinan Yayasan,PIC/Operator,Nomor Telepon_yayasan,Tanggal SK Pendirian,Umur,Tanggal SK Operasional,Sumber Listrik,meter listrik,luas tanah,harga_listrik_per_bulan,Harga Tanah Pasaran per kecamatan,By power (jumlah siswa * spp),alamat lengkap,estimasi harga tanah sekolah,Website,is_website,is_agama,is_surabaya,Telepon_sekolah,Nama_Kepsek,Nama_Operator_Sekolah,Email_sekolah,average peserta didik yayasan,Lintang,Bujur
KEC. DUKUH PAKIS,20532514,SMP MARGIE,SMP,SWASTA,"Jl. Kupang Indah Ix/19, Dukuh Kupang, Kec. Dukuh Pakis, Kota Surabaya, Jawa Timur",317530806,031317530806,3000000,,B,23,3,1,1,3,3,1,6,9,,Kurikulum Merdeka,AI7189,YAYASAN MARGIE,5,5,"PETRUS JANUARDI MARTONO, S.Psi., M.Ed.","Sagita Enggar Triardiyani, S.Pd",317314582,1983,42,1910,PLN,115000,1999,46920000000,24000000,,"Jl. Kemlaten Baru Utara No.28, Kebraon, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",47976000000,http://www.margieschool.com,1,0,1,7315113,Sagita Enggar Triardiyani,Ana Maryana,smpmargie@gmail.com,43,,
KEC. GUNUNGANYAR,69991626,SMP LUVETA,SMP,SWASTA,"Rungkut Mapan Tengah Ii Db 12 A, Rungkut Tengah, Kec. Gununganyar, Kota Surabaya, Jawa Timur",315044523,031315044523,,,A,13,2,4,2,3,1,1,4,4,,Kurikulum Merdeka,AI7142,Yayasan Pendidikan Hati Anak Nasional,4,4,"Devi Tenggara, S.Pd, MM",ROIFAH,318707372,2016,9,2023,PLN,16000,280,6528000000,4900000,,"Jl. Kebraon Indah Permai Blok F No.7, Kebraon, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",1372000000,http://www.luvetaschool.com,1,0,1,3187862332,Stenli Anthe,DEWI PUSPARINI,luvetaschool.juniorhigh@gmail.com,20,-7.338512,112.80070
KEC. KARANG PILANG,20561806,TK PANCASILA I,TK,SWASTA,"Jl. Kemlaten Baru Utara No.28, Kebraon, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",315043544,031315043544,,,B,55,3,3,1,3,0,0,3,4,,Kurikulum Merdeka,AB4614,TK PANCASILA I,1,1,"HENOCH  HARI MINTARTO, ST",,-,2001,24,2017,PLN,1300,200,530400000,7000000,,"Jl. Kebraon Indah Permai Blok I/29 Surabaya, Kebraon, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",1400000000,-,0,0,1,85718183457,Septimina Putri Sunarsih,SEPTIMINA PUTRI SUNARSIH,tkpancasila1@gmail.com,55,,
KEC. KARANG PILANG,20564319,TK SABILILLAH,TK,SWASTA,"Jl. Kebraon Indah Permai Blok F No.7, Kebraon, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",315043545,031315043545,,,B,54,2,2,1,2,0,0,2,3,,Kurikulum Merdeka,AE6521,Yayasan Sabilillah Kebraon,1,1,Sunyoto Hadi Prayitno,,317673882,2013,12,2016,PLN,2200,0,897600000,7000000,,"Jl. Mastrip Ixrusun Warugunung Blok Manyar A Lt.Ii No. 8-10, Warugunung, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",0,-,0,0,1,85749134313,UMROTUL FAUZIYAH,UMROTUL FAUZIYAH,tksabilillah02@gmail.com,54,,
KEC. KARANG PILANG,20564344,TK KARUNIA,TK,SWASTA,"Jl. Kebraon Indah Permai Blok I/29 Surabaya, Kebraon, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",315043546,031315043546,,,B,42,2,2,1,6,0,1,2,3,,Kurikulum Merdeka,AB4622,Karunia Kasih Sayang,1,1,Natalia Christina Sugiyanto,Natalia Christina S.,-,2003,22,2017,PLN,4200,177,1713600000,7000000,,"Mastrip Iii/58 Warugunung Rt 2 Rw 1 , Warugunung, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",1239000000,http://tkkaruniai29.blogspot.co.id,0,0,1,81330447192,Sami Rahayu,ASRIFAH,tkkaruniai29@gmail.com,42,,
KEC. KARANG PILANG,20564317,TK INSAN NAJIB,TK,SWASTA,"Jl. Mastrip Ixrusun Warugunung Blok Manyar A Lt.Ii No. 8-10, Warugunung, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",315043547,031315043547,,,A,42,3,3,1,3,0,0,3,4,,Kurikulum Merdeka,AE6530,Yayasan Insan Najib,1,1,Mohammad Solehudin,,Belum Tersedia,2011,14,2018,PLN,1300,0,530400000,7000000,,"Jl. Raya Darmo Permai Iii Puncak Permai Square, Pradahkali Kendal, Kec. Dukuh Pakis, Kota Surabaya, Jawa Timur",0,-,0,1,1,8573504767,Indah Susilowati,Wahyu Fitria Lugiawati,tk.insan.najib@gmail.com,42,,
KEC. KARANG PILANG,69854875,TK TUNAS SAWUNGGALING I,TK,SWASTA,"Mastrip Iii/58 Warugunung Rt 2 Rw 1 , Warugunung, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",315043548,031315043548,,,B,56,3,2,1,3,0,0,2,4,,Kurikulum Merdeka,,,0,0,-,-,-,2011,14,2023,PLN,900,63,367200000,7000000,,"Jl. Kedurus Sawah Gede V, Kedurus, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",441000000,-,0,0,1,85731748057,NANING SUSILANINGSIH,naning susilaningsih,tksawunggalingsatuwarugunung@gmail.com,56,,
KEC. DUKUH PAKIS,20554138,SMPS GREAT CRYSTAL,SMP,SWASTA,"Jl. Raya Darmo Permai Iii Puncak Permai Square, Pradahkali Kendal, Kec. Dukuh Pakis, Kota Surabaya, Jawa Timur",315043589,031315043589,,,A,14,3,3,1,3,2,1,3,6,,Kurikulum Internasional,AI7226,Pendidikan Sumber Daya Sukses Makmur,4,4,Harijanto,EKO CHANDRA KURNIAWAN,317348825,2008,17,2019,PLN,9999,276000,4079592000,24000000,,"Jl. Dinoyo No. 127 Surabaya , Keputran, Kec. Tegal Sari, Kota Surabaya, Jawa Timur",6624000000000,http://www.greatcrystalschool.com,1,0,1,317348825,DONNY PRASETYA,INTAN DWI SAFITRI,admin@great.sch.id,30,-7.293400,112.68980
KEC. KARANG PILANG,20564308,TK HARAPAN IBU,TK,SWASTA,"Jl. Kedurus Sawah Gede V, Kedurus, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",315043550,031315043550,,,B,45,2,2,1,2,0,0,2,3,,Kurikulum Merdeka,AE6552,TUNAS IBU,1,1,"Indrawasih, SE",,-,2001,24,2024,PLN,433,0,176664000,7000000,,"Jl. Kampung Malang Kulon Ii / 17, Wonorejo, Kec. Tegal Sari, Kota Surabaya, Jawa Timur",0,-,0,0,1,85733150135,ANA NURJAYANTI,YUNI KUSUMAWATI,erikana74@gmail.com,45,,
KEC. TEGAL SARI,20584019,SMP ANUGERAH PEKERTI,SMP,SWASTA,"Jl. Dinoyo No. 127 Surabaya , Keputran, Kec. Tegal Sari, Kota Surabaya, Jawa Timur",315043725,031315043725,,,B,16,3,8,2,3,2,2,8,5,,Kurikulum Merdeka,AN2260,Yayasan Perhimpunan Anugerah Pekerti,4,4,"Dr. Adi W. Gunawan, S.T, M.Pd, CCH",Prasetya Catur Nugraha,315660637,2012,13,2022,PLN,22000,1145,8976000000,32070000,,"Jl. Gunung Sari Indah Blok Y-18A, Kedurus, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",36720150000,http://anugerahpekerti.com,1,0,1,315660637,Yohanes Sukoco,Prasetya Catur Nugraha,info@anugerahpekerti.com,38,-7.272200,112.73270
KEC. TEGAL SARI,69924884,TK TAMAN SARI,TK,SWASTA,"Jl. Kampung Malang Kulon Ii / 17, Wonorejo, Kec. Tegal Sari, Kota Surabaya, Jawa Timur",315043552,031315043552,,,B,45,2,1,1,4,0,0,1,3,,Kurikulum Merdeka,AN2254,YAYASAN TAMAN SARI KAMAKU,1,1,Eko Bagus Susanto,,3199248161,2014,11,2022,PLN,2200,0,897600000,32070000,,"Jl. Bendul Merisi Gg. Besar Timur No. 37 , Bendul Merisi, Kec. Wonocolo, Kota Surabaya, Jawa Timur",0,-,0,0,1,315483407,Irma Afrianti,IRMA AFRIANTI,tk.taman.sari01@gmail.com,45,,
KEC. KARANG PILANG,20564309,TK ISLAM AL-FATTAH,TK,SWASTA,"Jl. Gunung Sari Indah Blok Y-18A, Kedurus, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",315043553,031315043553,,,B,33,2,1,1,2,0,0,1,2,,Kurikulum Merdeka,AE6543,YAYASAN AL-FATTAH GSI,1,1,H. PARDJONO,,317672453,2001,24,2018,PLN,900,200,367200000,7000000,,"Jl. Jemursari Utara V / 36 Surabaya, Jemur Wonosari, Kec. Wonocolo, Kota Surabaya, Jawa Timur",1400000000,-,0,1,1,317672453,DYAH FITTRI ATMININGSIH,Luluk Bariroh,lulukbariroh36@gmail.com,33,,
KEC. WONOCOLO,69812623,TK. SAKTI MERISI,TK,SWASTA,"Jl. Bendul Merisi Gg. Besar Timur No. 37 , Bendul Merisi, Kec. Wonocolo, Kota Surabaya, Jawa Timur",315043554,031315043554,,,B,54,3,3,1,2,0,0,3,3,,Kurikulum Merdeka,AE6654,TK SAKTI MERISI,1,1,ROKHMANU,,-,2012,13,2020,PLN,900,96,367200000,8020000,,"Jl. Telaga Golf Ta 4-8 A Citraland, Jeruk, Kec. Lakarsantri, Kota Surabaya, Jawa Timur",769920000,-,0,0,1,895380178375,RODIYAH,EKA SULISTIYOWATI,tksaktimerisi@gmail.com,54,,
KEC. WONOCOLO,20563963,TK SEKAR MELATI,TK,SWASTA,"Jl. Jemursari Utara V / 36 Surabaya, Jemur Wonosari, Kec. Wonocolo, Kota Surabaya, Jawa Timur",315043555,031315043555,,,B,26,2,2,1,2,0,0,2,3,,Kurikulum Merdeka,AH1082,Yayasan Sekar Melati Wonocolo,1,1,Sunoko,,8472480,2014,11,2020,PLN,0,80,0,8020000,,"Jl. Kebraon Ii / 65, Kebraon, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",641600000,-,0,0,1,8472480,NANA SYAH CANDRAWATI RAHMAN,ADIL HUDZAIFAH HAMDANI,tksekarmelati22@yahoo.com,26,,
KEC. LAKARSANTRI,69904233,KB APPLE TREE,KB,SWASTA,"Jl. Telaga Golf Ta 4-8 A Citraland, Jeruk, Kec. Lakarsantri, Kota Surabaya, Jawa Timur",315043556,031315043556,,,A,96,5,3,2,10,0,1,3,2,,Kurikulum Internasional,,,0,0,,,,2014,11,2018,PLN,33000,139876,13464000000,12670000,,"Jl. Gsi Blok Cc Kedurus Surabaya, Kedurus, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",1772228920000,http://www.appletreeps.com,1,0,1,3151160033,AKHIDA ESHA RADINA,NIDIA RATNA NAWANGSARI,appletree_citraland@yahoo.co.id,96,,
KEC. KARANG PILANG,69854877,TK DHARMA PRAJA,TK,SWASTA,"Jl. Kebraon Ii / 65, Kebraon, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",315043557,031315043557,,,B,39,3,3,1,2,0,0,3,4,,Kurikulum Merdeka,AE6540,YAYASAN PENDIDIKAN DHARMA PRAJA KELURAHAN KEBRAON,1,1,"ROKHIMAH, S.Pd",,031-7667619,2010,15,2022,PLN,0,170,0,7000000,,"Jl. Gunungsari Indah L / 45, Kedurus, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",1190000000,-,0,0,1,8573284332,CHOLBIATI,ABYATI RAHMATINA,tk_dharmapraja@yahoo.com,39,,
KEC. KARANG PILANG,20561804,TK SITI AMINAH,TK,SWASTA,"Jl. Gsi Blok Cc Kedurus Surabaya, Kedurus, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",315043558,031315043558,,,B,25,2,2,1,2,0,0,2,3,,Kurikulum Merdeka,AE6533,ABU ADNAN,4,4,"HJ. ZUBAIDAH, S.Psi",Imron Effendi,Belum Tersedia,1992,33,2011,PLN,900,16,367200000,7000000,,"Jl. Grudo Vi/3 , Dr. Sutomo, Kec. Tegal Sari, Kota Surabaya, Jawa Timur",112000000,http://tksitiaminah.blogspot.com,0,0,1,-,NIHAYAH,DIYAH NITA RAHMI,tksitiaminah1@gmail.com,179,,
KEC. KARANG PILANG,69934374,TPA NURANI,TPA,SWASTA,"Jl. Gunungsari Indah L / 45, Kedurus, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",315043559,031315043559,,,B,7,0,2,1,0,0,0,2,3,,Kurikulum Merdeka,AE6524,YAYASAN PENDIDIKAN NURANI,1,1,DJATMOKO,,-,2016,9,2016,PLN,1300,135,#N/A,7000000,,"Jl. Kaliasin 10, Kedungdoro, Kec. Tegal Sari, Kota Surabaya, Jawa Timur",945000000,-,0,0,1,85850059333,BOEDIHERMAWATI,Mia Suci Rahmasari,tpanuranii@gmail.com,7,,
KEC. TEGAL SARI,20559086,TK BHINNEKA TUNGGAL IKA,TK,SWASTA,"Jl. Grudo Vi/3 , Dr. Sutomo, Kec. Tegal Sari, Kota Surabaya, Jawa Timur",315043560,031315043560,,,B,29,2,1,1,2,0,0,1,2,,Kurikulum Merdeka,AE6847,Tk bhinneka tunggal ika,1,1,Kurniati Setyaningsih B.Sc,,0,2010,15,2020,PLN,900,0,367200000,32070000,,"Jl. Siwalankerto Ii B / 1 - 2 Surabaya Rt 4 / Rw 1, Siwalankerto, Kec. Wonocolo, Kota Surabaya, Jawa Timur",0,-,0,0,1,82131035703,Wiwik Supadmi,Wiwik Supadmi,tkbhinnekatunggalika@gmail.com,29,,
KEC. TEGAL SARI,20559098,TK KALIASIN,TK,SWASTA,"Jl. Kaliasin 10, Kedungdoro, Kec. Tegal Sari, Kota Surabaya, Jawa Timur",315043561,031315043561,,,B,53,2,2,1,2,0,0,3,5,,Kurikulum Merdeka,AN2253,RW 11 KALIASIN,1,1,"GUNAWAN WIBISONO, S.H",,Belum Tersedia,2010,15,2021,PLN,900,0,367200000,32070000,,"Jl. Surabayan Iv / 28 Surabaya, Kedungdoro, Kec. Tegal Sari, Kota Surabaya, Jawa Timur",0,-,0,0,1,82231386052,SUWARDI,retno,tk.kaliasin@gmail.com,53,,
KEC. WONOCOLO,20558604,TK ISLAM BINA INSANI,TK,SWASTA,"Jl. Siwalankerto Ii B / 1 - 2 Surabaya Rt 4 / Rw 1, Siwalankerto, Kec. Wonocolo, Kota Surabaya, Jawa Timur",315043562,031315043562,,,A,63,4,4,1,4,0,0,4,5,,Kurikulum Merdeka,AE6630,YAYASAN AL-AMAL,1,1,"Drs. H. ROZIQI, MM",,8493947,2014,11,2021,PLN,1300,172,530400000,8020000,,"Jl. Wonorejo Iii / 9 Surabaya, Wonorejo, Kec. Tegal Sari, Kota Surabaya, Jawa Timur",1379440000,-,0,1,1,318472704,ENIK ENDAH KURNIAWATI,Siti Halimah,tkibisby@gmail.com,63,,
KEC. TEGAL SARI,20559106,TK SURABAYAN,TK,SWASTA,"Jl. Surabayan Iv / 28 Surabaya, Kedungdoro, Kec. Tegal Sari, Kota Surabaya, Jawa Timur",315043563,031315043563,,,B,50,3,3,1,2,0,0,3,4,,Kurikulum Merdeka,AN2265,PENDIDIKAN RUKUN WARGA SURABAYAN SURABAYA,1,1,Eddy Suwardi,,031 5471993,2012,13,2023,PLN,900,0,367200000,32070000,,"Jl. Mastrip X / 53 , Warugunung, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",0,-,0,0,1,85100219136,DYAH RAGIL HAPSARI,"DYAH RAGIL HAPSARI, S.Pd",tk.surabayan@gmail.com,50,,
KEC. TEGAL SARI,20559126,TK TUNAS ADIPURA,TK,SWASTA,"Jl. Wonorejo Iii / 9 Surabaya, Wonorejo, Kec. Tegal Sari, Kota Surabaya, Jawa Timur",315043564,031315043564,,,B,66,3,3,1,5,0,0,3,4,,Kurikulum Merdeka,,,0,0,-,-,-,2010,15,2022,PLN,1294,0,527952000,32070000,,"Kedurus Iii Pilang Mukti 36 Surabaya, Kedurus, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",0,-,0,0,1,81330778515,TITIN SUPRIASTINI,Dwi Wahyuni,yayasantunasadipura@gmail.com,66,,
KEC. KARANG PILANG,20564318,TK PANCASILA III,TK,SWASTA,"Jl. Mastrip X / 53 , Warugunung, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",315043565,031315043565,,,B,24,2,2,1,2,0,0,2,3,,Kurikulum Merdeka,,,0,0,-,-,-,2011,14,2023,PLN,900,83,367200000,7000000,,"Jl. Ngagel Jaya Utara 42/Surabaya, Pucang Sewu, Kec. Gubeng, Kota Surabaya, Jawa Timur",581000000,-,0,0,1,82132128015,Endang Riswati,"SRI WAHYUNI, S.Pd",tkpancasila3yes@gmail.com,24,,
KEC. KARANG PILANG,20561845,TK BELIA KREATIF,TK,SWASTA,"Kedurus Iii Pilang Mukti 36 Surabaya, Kedurus, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",315043566,031315043566,,,B,16,2,1,1,2,0,0,1,2,,Kurikulum Merdeka,AB4620,BINA BELIA,1,1,SUDIGNO,Priska Wilujeng,-,2010,15,2019,PLN,2200,216,897600000,7000000,,"Perum Gunungsari Indah F-2, Kedurus, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",1512000000,-,0,0,1,85853608892,Priska Wilujeng,YATINI RASMININGSIH,beliakreatifschool@gmail.com,16,,
KEC. GUBENG,20531834,SD AELI,SD,SWASTA,"Jl. Ngagel Jaya Utara 42/Surabaya, Pucang Sewu, Kec. Gubeng, Kota Surabaya, Jawa Timur",315043593,031315043593,,,B,18,6,4,1,6,1,1,4,6,,Kurikulum Internasional,AB4745,AELI,3,3,NJO SOFI DIANAWATI,SAVITRY MEIGAWATI,5022852,2002,23,1910,PLN,0,387,0,15630000,,"Jl. Raya Menganti Kedurus No 31 33 35, Kedurus, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",6048810000,http://www.aelischool.weebly.com,1,0,1,315034855,Farida Rahayu Alriani,SAVITRY MEIGAWATI,aelischool@gmail.com,18,-7.289200,112.75530
KEC. KARANG PILANG,69952167,TK INKLUSI CEMARA,TK,SWASTA,"Perum Gunungsari Indah F-2, Kedurus, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",315043568,031315043568,,,B,26,5,5,1,5,0,0,5,4,,Kurikulum Merdeka,AE6544,CEMARA HARAPAN BANGSA MULIA,1,1,RETNO ENNY RAHAYU,MELINDA RAMADHANTI,-,2016,9,2021,PLN,900,0,367200000,7000000,,"Jl. Raya Beringin No.9, Bringin, Kec. Sambi Kerep, Kota Surabaya, Jawa Timur",0,-,0,0,1,81252844784,HAJAR AZARINE,MELINDA RAMADHANTI,tk.inklusi.cemara@gmail.com,26,,
KEC. KARANG PILANG,20564347,TK SYEICH ABU BAKAR,TK,SWASTA,"Jl. Raya Menganti Kedurus No 31 33 35, Kedurus, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",315043569,031315043569,,,B,19,3,3,1,4,0,0,3,5,,Kurikulum Merdeka,AB4617,Syeich Abu Bakar,1,1,Drs. M Anis Thoha Albar,CHUSNUL CHOTIMAH,-,2010,15,2023,PLN,1300,0,530400000,7000000,,"Griya Kebraon Tengah Blok X No 10-11, Kebraon, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",0,-,0,0,1,85803696600,Titik Ananingsih,CHUSNUL CHOTIMAH,tksab0905@gmail.com,19,,
